score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
12,0.003911733627319336,False,,,1,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.003911733627319336,42810,BOSS8-OS,172.25.0.208,0.003911733627319336,0,1
13,0.0437159538269043,False,,,2,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.04762768745422363,42810,BOSS8-OS,172.25.0.208,0.04762768745422363,0,2
14,0.029735565185546875,False,,,3,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.07736325263977051,42810,BOSS8-OS,172.25.0.208,0.07736325263977051,0,3
15,0.005948543548583984,False,,,4,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.08331179618835449,42810,BOSS8-OS,172.25.0.208,0.08331179618835449,0,4
16,0.08088994026184082,False,,,5,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.1642017364501953,42810,BOSS8-OS,172.25.0.208,0.1642017364501953,0,5
17,0.0076749324798583984,False,,,6,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.1718766689300537,42810,BOSS8-OS,172.25.0.208,0.1718766689300537,0,6
18,0.006226539611816406,False,,,7,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.17810320854187012,42810,BOSS8-OS,172.25.0.208,0.17810320854187012,0,7
19,0.011941671371459961,False,,,8,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.19004487991333008,42810,BOSS8-OS,172.25.0.208,0.19004487991333008,0,8
20,0.005473613739013672,False,,,9,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.19551849365234375,42810,BOSS8-OS,172.25.0.208,0.19551849365234375,0,9
21,0.031191110610961914,False,,,10,cb33a_00006,76d4e80922884bca8f580bbccccf848a,2022-02-09_05-34-08,1644365048,0.22670960426330566,42810,BOSS8-OS,172.25.0.208,0.22670960426330566,0,10
