score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.0018117427825927734,False,,,1,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-28,1644365068,0.0018117427825927734,42787,BOSS8-OS,172.25.0.208,0.0018117427825927734,0,1
6,0.17509889602661133,False,,,2,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.1769106388092041,42787,BOSS8-OS,172.25.0.208,0.1769106388092041,0,2
7,0.06324505805969238,False,,,3,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.24015569686889648,42787,BOSS8-OS,172.25.0.208,0.24015569686889648,0,3
8,0.057955026626586914,False,,,4,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.2981107234954834,42787,BOSS8-OS,172.25.0.208,0.2981107234954834,0,4
9,0.08250999450683594,False,,,5,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.38062071800231934,42787,BOSS8-OS,172.25.0.208,0.38062071800231934,0,5
10,0.015392541885375977,False,,,6,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.3960132598876953,42787,BOSS8-OS,172.25.0.208,0.3960132598876953,0,6
11,0.01117253303527832,False,,,7,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.40718579292297363,42787,BOSS8-OS,172.25.0.208,0.40718579292297363,0,7
12,0.01678943634033203,False,,,8,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.42397522926330566,42787,BOSS8-OS,172.25.0.208,0.42397522926330566,0,8
13,0.0073833465576171875,False,,,9,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.43135857582092285,42787,BOSS8-OS,172.25.0.208,0.43135857582092285,0,9
14,0.010302066802978516,False,,,10,d78a9_00004,7547810d47ab40a3b8c964e9486b92c9,2022-02-09_05-34-29,1644365069,0.44166064262390137,42787,BOSS8-OS,172.25.0.208,0.44166064262390137,0,10
