score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.01470327377319336,False,,,1,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-53,1644365213,0.01470327377319336,17818,BOSS8-OS,172.25.0.208,0.01470327377319336,0,1
6,0.009834051132202148,False,,,2,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-53,1644365213,0.024537324905395508,17818,BOSS8-OS,172.25.0.208,0.024537324905395508,0,2
7,0.07400131225585938,False,,,3,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-53,1644365213,0.09853863716125488,17818,BOSS8-OS,172.25.0.208,0.09853863716125488,0,3
8,0.11672043800354004,False,,,4,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.21525907516479492,17818,BOSS8-OS,172.25.0.208,0.21525907516479492,0,4
9,0.005944013595581055,False,,,5,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.22120308876037598,17818,BOSS8-OS,172.25.0.208,0.22120308876037598,0,5
10,0.014597892761230469,False,,,6,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.23580098152160645,17818,BOSS8-OS,172.25.0.208,0.23580098152160645,0,6
11,0.04036068916320801,False,,,7,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.27616167068481445,17818,BOSS8-OS,172.25.0.208,0.27616167068481445,0,7
12,0.011844396591186523,False,,,8,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.288006067276001,17818,BOSS8-OS,172.25.0.208,0.288006067276001,0,8
13,0.006145954132080078,False,,,9,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.29415202140808105,17818,BOSS8-OS,172.25.0.208,0.29415202140808105,0,9
14,0.015636205673217773,False,,,10,2e0d5_00004,2b8800c0c0a84f00ba91ac224cffd0da,2022-02-09_05-36-54,1644365214,0.30978822708129883,17818,BOSS8-OS,172.25.0.208,0.30978822708129883,0,10
