score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.00036644935607910156,False,,,1,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.00036644935607910156,17701,BOSS8-OS,172.25.0.208,0.00036644935607910156,0,1
6,0.0938103199005127,False,,,2,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.0941767692565918,17701,BOSS8-OS,172.25.0.208,0.0941767692565918,0,2
7,0.004141330718994141,False,,,3,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.09831809997558594,17701,BOSS8-OS,172.25.0.208,0.09831809997558594,0,3
8,0.0053942203521728516,False,,,4,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.10371232032775879,17701,BOSS8-OS,172.25.0.208,0.10371232032775879,0,4
9,0.0050046443939208984,False,,,5,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.10871696472167969,17701,BOSS8-OS,172.25.0.208,0.10871696472167969,0,5
10,0.0043697357177734375,False,,,6,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.11308670043945312,17701,BOSS8-OS,172.25.0.208,0.11308670043945312,0,6
11,0.003442049026489258,False,,,7,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.11652874946594238,17701,BOSS8-OS,172.25.0.208,0.11652874946594238,0,7
12,0.002883434295654297,False,,,8,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.11941218376159668,17701,BOSS8-OS,172.25.0.208,0.11941218376159668,0,8
13,0.0022745132446289062,False,,,9,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.12168669700622559,17701,BOSS8-OS,172.25.0.208,0.12168669700622559,0,9
14,0.0024552345275878906,False,,,10,2349a_00000,2261404e0bc4442090189313972ae9b7,2022-02-09_05-43-43,1644365623,0.12414193153381348,17701,BOSS8-OS,172.25.0.208,0.12414193153381348,0,10
