score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
12,0.0004069805145263672,False,,,1,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.0004069805145263672,42835,BOSS8-OS,172.25.0.208,0.0004069805145263672,0,1
13,0.017626047134399414,False,,,2,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.01803302764892578,42835,BOSS8-OS,172.25.0.208,0.01803302764892578,0,2
14,0.0071299076080322266,False,,,3,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.025162935256958008,42835,BOSS8-OS,172.25.0.208,0.025162935256958008,0,3
15,0.03602194786071777,False,,,4,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.06118488311767578,42835,BOSS8-OS,172.25.0.208,0.06118488311767578,0,4
16,0.09870767593383789,False,,,5,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.15989255905151367,42835,BOSS8-OS,172.25.0.208,0.15989255905151367,0,5
17,0.017136096954345703,False,,,6,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.17702865600585938,42835,BOSS8-OS,172.25.0.208,0.17702865600585938,0,6
18,0.004388332366943359,False,,,7,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.18141698837280273,42835,BOSS8-OS,172.25.0.208,0.18141698837280273,0,7
19,0.05482053756713867,False,,,8,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.2362375259399414,42835,BOSS8-OS,172.25.0.208,0.2362375259399414,0,8
20,0.016474008560180664,False,,,9,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.25271153450012207,42835,BOSS8-OS,172.25.0.208,0.25271153450012207,0,9
21,0.04497051239013672,False,,,10,c6ff2_00006,d9acbf6a9a5f47a7b5baaae4335adaa1,2022-02-09_05-34-01,1644365041,0.2976820468902588,42835,BOSS8-OS,172.25.0.208,0.2976820468902588,0,10
