score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.0010704994201660156,False,,,1,5f408_00000,58dbf9db15ec4975b2cb31dd57396e3a,2022-02-09_05-23-55,1644364435,0.0010704994201660156,42943,BOSS8-OS,172.25.0.208,0.0010704994201660156,0,1
6,0.012981176376342773,False,,,2,5f408_00000,58dbf9db15ec4975b2cb31dd57396e3a,2022-02-09_05-23-55,1644364435,0.014051675796508789,42943,BOSS8-OS,172.25.0.208,0.014051675796508789,0,2
7,0.002573251724243164,False,,,3,5f408_00000,58dbf9db15ec4975b2cb31dd57396e3a,2022-02-09_05-23-55,1644364435,0.016624927520751953,42943,BOSS8-OS,172.25.0.208,0.016624927520751953,0,3
8,0.0037949085235595703,False,,,4,5f408_00000,58dbf9db15ec4975b2cb31dd57396e3a,2022-02-09_05-23-55,1644364435,0.020419836044311523,42943,BOSS8-OS,172.25.0.208,0.020419836044311523,0,4
9,0.003066539764404297,False,,,5,5f408_00000,58dbf9db15ec4975b2cb31dd57396e3a,2022-02-09_05-23-55,1644364435,0.02348637580871582,42943,BOSS8-OS,172.25.0.208,0.02348637580871582,0,5
