score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
7,0.000904083251953125,False,,,1,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.000904083251953125,17786,BOSS8-OS,172.25.0.208,0.000904083251953125,0,1
8,0.01944565773010254,False,,,2,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.020349740982055664,17786,BOSS8-OS,172.25.0.208,0.020349740982055664,0,2
9,0.008155107498168945,False,,,3,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.02850484848022461,17786,BOSS8-OS,172.25.0.208,0.02850484848022461,0,3
10,0.07228374481201172,False,,,4,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.10078859329223633,17786,BOSS8-OS,172.25.0.208,0.10078859329223633,0,4
11,0.023337125778198242,False,,,5,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.12412571907043457,17786,BOSS8-OS,172.25.0.208,0.12412571907043457,0,5
12,0.015103340148925781,False,,,6,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.13922905921936035,17786,BOSS8-OS,172.25.0.208,0.13922905921936035,0,6
13,0.0714104175567627,False,,,7,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.21063947677612305,17786,BOSS8-OS,172.25.0.208,0.21063947677612305,0,7
14,0.0072138309478759766,False,,,8,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.21785330772399902,17786,BOSS8-OS,172.25.0.208,0.21785330772399902,0,8
15,0.05576443672180176,False,,,9,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.2736177444458008,17786,BOSS8-OS,172.25.0.208,0.2736177444458008,0,9
16,0.015070676803588867,False,,,10,34f68_00002,fece057c1fd344c7aaf6daa9e9e23292,2022-02-09_05-37-05,1644365225,0.28868842124938965,17786,BOSS8-OS,172.25.0.208,0.28868842124938965,0,10
