score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.0012040138244628906,False,,,1,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.0012040138244628906,17815,BOSS8-OS,172.25.0.208,0.0012040138244628906,0,1
7,0.023668289184570312,False,,,2,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.024872303009033203,17815,BOSS8-OS,172.25.0.208,0.024872303009033203,0,2
8,0.012448310852050781,False,,,3,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.037320613861083984,17815,BOSS8-OS,172.25.0.208,0.037320613861083984,0,3
9,0.022901296615600586,False,,,4,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.06022191047668457,17815,BOSS8-OS,172.25.0.208,0.06022191047668457,0,4
10,0.03748035430908203,False,,,5,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.0977022647857666,17815,BOSS8-OS,172.25.0.208,0.0977022647857666,0,5
11,0.02345752716064453,False,,,6,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.12115979194641113,17815,BOSS8-OS,172.25.0.208,0.12115979194641113,0,6
12,0.03268003463745117,False,,,7,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.1538398265838623,17815,BOSS8-OS,172.25.0.208,0.1538398265838623,0,7
13,0.010534524917602539,False,,,8,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.16437435150146484,17815,BOSS8-OS,172.25.0.208,0.16437435150146484,0,8
14,0.008524179458618164,False,,,9,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.172898530960083,17815,BOSS8-OS,172.25.0.208,0.172898530960083,0,9
15,0.004988670349121094,False,,,10,34f68_00005,ab54730bf73d41928662c2fb5f869eb2,2022-02-09_05-37-05,1644365225,0.1778872013092041,17815,BOSS8-OS,172.25.0.208,0.1778872013092041,0,10
