score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.003039836883544922,False,,,1,50167_00000,810684a34d204e009dca760756740a7c,2022-02-09_05-30-39,1644364839,0.003039836883544922,42834,BOSS8-OS,172.25.0.208,0.003039836883544922,0,1
6,0.00909566879272461,False,,,2,50167_00000,810684a34d204e009dca760756740a7c,2022-02-09_05-30-39,1644364839,0.012135505676269531,42834,BOSS8-OS,172.25.0.208,0.012135505676269531,0,2
7,0.004365682601928711,False,,,3,50167_00000,810684a34d204e009dca760756740a7c,2022-02-09_05-30-39,1644364839,0.016501188278198242,42834,BOSS8-OS,172.25.0.208,0.016501188278198242,0,3
8,0.0054531097412109375,False,,,4,50167_00000,810684a34d204e009dca760756740a7c,2022-02-09_05-30-39,1644364839,0.02195429801940918,42834,BOSS8-OS,172.25.0.208,0.02195429801940918,0,4
9,0.0031309127807617188,False,,,5,50167_00000,810684a34d204e009dca760756740a7c,2022-02-09_05-30-39,1644364839,0.0250852108001709,42834,BOSS8-OS,172.25.0.208,0.0250852108001709,0,5
