score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
4,0.003341197967529297,False,,,1,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.003341197967529297,42970,BOSS8-OS,172.25.0.208,0.003341197967529297,0,1
5,0.06897234916687012,False,,,2,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.07231354713439941,42970,BOSS8-OS,172.25.0.208,0.07231354713439941,0,2
6,0.09397339820861816,False,,,3,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.16628694534301758,42970,BOSS8-OS,172.25.0.208,0.16628694534301758,0,3
7,0.01582050323486328,False,,,4,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.18210744857788086,42970,BOSS8-OS,172.25.0.208,0.18210744857788086,0,4
8,0.023733854293823242,False,,,5,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.2058413028717041,42970,BOSS8-OS,172.25.0.208,0.2058413028717041,0,5
9,0.00945425033569336,False,,,6,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.21529555320739746,42970,BOSS8-OS,172.25.0.208,0.21529555320739746,0,6
10,0.06219196319580078,False,,,7,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.27748751640319824,42970,BOSS8-OS,172.25.0.208,0.27748751640319824,0,7
11,0.012533903121948242,False,,,8,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.2900214195251465,42970,BOSS8-OS,172.25.0.208,0.2900214195251465,0,8
12,0.013762474060058594,False,,,9,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.3037838935852051,42970,BOSS8-OS,172.25.0.208,0.3037838935852051,0,9
13,0.036828041076660156,False,,,10,c6ff2_00003,e878e666f4bb4160a38c167d76109ae4,2022-02-09_05-34-01,1644365041,0.34061193466186523,42970,BOSS8-OS,172.25.0.208,0.34061193466186523,0,10
