score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.01760244369506836,False,,,1,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.01760244369506836,42808,BOSS8-OS,172.25.0.208,0.01760244369506836,0,1
6,0.013557672500610352,False,,,2,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.03116011619567871,42808,BOSS8-OS,172.25.0.208,0.03116011619567871,0,2
7,0.05055737495422363,False,,,3,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.08171749114990234,42808,BOSS8-OS,172.25.0.208,0.08171749114990234,0,3
8,0.010473012924194336,False,,,4,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.09219050407409668,42808,BOSS8-OS,172.25.0.208,0.09219050407409668,0,4
9,0.011801481246948242,False,,,5,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.10399198532104492,42808,BOSS8-OS,172.25.0.208,0.10399198532104492,0,5
10,0.04565310478210449,False,,,6,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.14964509010314941,42808,BOSS8-OS,172.25.0.208,0.14964509010314941,0,6
11,0.034461021423339844,False,,,7,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.18410611152648926,42808,BOSS8-OS,172.25.0.208,0.18410611152648926,0,7
12,0.013312339782714844,False,,,8,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.1974184513092041,42808,BOSS8-OS,172.25.0.208,0.1974184513092041,0,8
13,0.004027128219604492,False,,,9,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.2014455795288086,42808,BOSS8-OS,172.25.0.208,0.2014455795288086,0,9
14,0.025574445724487305,False,,,10,cb33a_00004,5a519ac8f465423caad4925daab1cd33,2022-02-09_05-34-08,1644365048,0.2270200252532959,42808,BOSS8-OS,172.25.0.208,0.2270200252532959,0,10
