score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.00044345855712890625,False,,,1,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.00044345855712890625,17820,BOSS8-OS,172.25.0.208,0.00044345855712890625,0,1
7,0.007562160491943359,False,,,2,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.008005619049072266,17820,BOSS8-OS,172.25.0.208,0.008005619049072266,0,2
8,0.004340171813964844,False,,,3,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.01234579086303711,17820,BOSS8-OS,172.25.0.208,0.01234579086303711,0,3
9,0.0033965110778808594,False,,,4,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.01574230194091797,17820,BOSS8-OS,172.25.0.208,0.01574230194091797,0,4
10,0.0035631656646728516,False,,,5,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.01930546760559082,17820,BOSS8-OS,172.25.0.208,0.01930546760559082,0,5
11,0.006777763366699219,False,,,6,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.02608323097229004,17820,BOSS8-OS,172.25.0.208,0.02608323097229004,0,6
12,0.02091526985168457,False,,,7,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.04699850082397461,17820,BOSS8-OS,172.25.0.208,0.04699850082397461,0,7
13,0.004423618316650391,False,,,8,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.051422119140625,17820,BOSS8-OS,172.25.0.208,0.051422119140625,0,8
14,0.011214017868041992,False,,,9,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.06263613700866699,17820,BOSS8-OS,172.25.0.208,0.06263613700866699,0,9
15,0.014050483703613281,False,,,10,2e0d5_00001,8ea948f7caf749f7a0a3fe7013e663f5,2022-02-09_05-36-53,1644365213,0.07668662071228027,17820,BOSS8-OS,172.25.0.208,0.07668662071228027,0,10
