score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
14,0.0004329681396484375,False,,,1,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.0004329681396484375,17781,BOSS8-OS,172.25.0.208,0.0004329681396484375,0,1
15,0.03102898597717285,False,,,2,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.03146195411682129,17781,BOSS8-OS,172.25.0.208,0.03146195411682129,0,2
16,0.03597617149353027,False,,,3,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.06743812561035156,17781,BOSS8-OS,172.25.0.208,0.06743812561035156,0,3
17,0.01715564727783203,False,,,4,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.0845937728881836,17781,BOSS8-OS,172.25.0.208,0.0845937728881836,0,4
18,0.00975799560546875,False,,,5,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.09435176849365234,17781,BOSS8-OS,172.25.0.208,0.09435176849365234,0,5
19,0.005244016647338867,False,,,6,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.09959578514099121,17781,BOSS8-OS,172.25.0.208,0.09959578514099121,0,6
20,0.004895687103271484,False,,,7,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.1044914722442627,17781,BOSS8-OS,172.25.0.208,0.1044914722442627,0,7
21,0.013934850692749023,False,,,8,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.11842632293701172,17781,BOSS8-OS,172.25.0.208,0.11842632293701172,0,8
22,0.009857892990112305,False,,,9,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-53,1644365213,0.12828421592712402,17781,BOSS8-OS,172.25.0.208,0.12828421592712402,0,9
23,0.008877277374267578,False,,,10,2e0d5_00008,ba8a45e1c6ca44eeb3a692660ba7bff0,2022-02-09_05-36-54,1644365214,0.1371614933013916,17781,BOSS8-OS,172.25.0.208,0.1371614933013916,0,10
