score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
5,0.00386810302734375,False,,,1,59beb_00000,a64ac75eb41b4526b335af2b69329ac5,2022-02-09_05-30-56,1644364856,0.00386810302734375,42882,BOSS8-OS,172.25.0.208,0.00386810302734375,0,1
6,0.008573293685913086,False,,,2,59beb_00000,a64ac75eb41b4526b335af2b69329ac5,2022-02-09_05-30-56,1644364856,0.012441396713256836,42882,BOSS8-OS,172.25.0.208,0.012441396713256836,0,2
7,0.0026831626892089844,False,,,3,59beb_00000,a64ac75eb41b4526b335af2b69329ac5,2022-02-09_05-30-56,1644364856,0.01512455940246582,42882,BOSS8-OS,172.25.0.208,0.01512455940246582,0,3
8,0.0074117183685302734,False,,,4,59beb_00000,a64ac75eb41b4526b335af2b69329ac5,2022-02-09_05-30-56,1644364856,0.022536277770996094,42882,BOSS8-OS,172.25.0.208,0.022536277770996094,0,4
9,0.003133058547973633,False,,,5,59beb_00000,a64ac75eb41b4526b335af2b69329ac5,2022-02-09_05-30-56,1644364856,0.025669336318969727,42882,BOSS8-OS,172.25.0.208,0.025669336318969727,0,5
