score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
4,0.0028548240661621094,False,,,1,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.0028548240661621094,17738,BOSS8-OS,172.25.0.208,0.0028548240661621094,0,1
5,0.00850224494934082,False,,,2,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.01135706901550293,17738,BOSS8-OS,172.25.0.208,0.01135706901550293,0,2
6,0.006468057632446289,False,,,3,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.01782512664794922,17738,BOSS8-OS,172.25.0.208,0.01782512664794922,0,3
7,0.006609439849853516,False,,,4,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.024434566497802734,17738,BOSS8-OS,172.25.0.208,0.024434566497802734,0,4
8,0.021047115325927734,False,,,5,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.04548168182373047,17738,BOSS8-OS,172.25.0.208,0.04548168182373047,0,5
9,0.009958505630493164,False,,,6,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.05544018745422363,17738,BOSS8-OS,172.25.0.208,0.05544018745422363,0,6
10,0.006306886672973633,False,,,7,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.061747074127197266,17738,BOSS8-OS,172.25.0.208,0.061747074127197266,0,7
11,0.00835561752319336,False,,,8,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.07010269165039062,17738,BOSS8-OS,172.25.0.208,0.07010269165039062,0,8
12,0.004867076873779297,False,,,9,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.07496976852416992,17738,BOSS8-OS,172.25.0.208,0.07496976852416992,0,9
13,0.018674135208129883,False,,,10,2349a_00003,9ebea68fd2a34c84abfb65cef751f559,2022-02-09_05-43-45,1644365625,0.0936439037322998,17738,BOSS8-OS,172.25.0.208,0.0936439037322998,0,10
