score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
6,0.0004863739013671875,False,,,1,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.0004863739013671875,42877,BOSS8-OS,172.25.0.208,0.0004863739013671875,0,1
7,0.0072956085205078125,False,,,2,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.007781982421875,42877,BOSS8-OS,172.25.0.208,0.007781982421875,0,2
8,0.013209819793701172,False,,,3,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.020991802215576172,42877,BOSS8-OS,172.25.0.208,0.020991802215576172,0,3
9,0.034276485443115234,False,,,4,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.055268287658691406,42877,BOSS8-OS,172.25.0.208,0.055268287658691406,0,4
10,0.03441596031188965,False,,,5,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.08968424797058105,42877,BOSS8-OS,172.25.0.208,0.08968424797058105,0,5
11,0.020108938217163086,False,,,6,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.10979318618774414,42877,BOSS8-OS,172.25.0.208,0.10979318618774414,0,6
12,0.04172015190124512,False,,,7,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.15151333808898926,42877,BOSS8-OS,172.25.0.208,0.15151333808898926,0,7
13,0.015011072158813477,False,,,8,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.16652441024780273,42877,BOSS8-OS,172.25.0.208,0.16652441024780273,0,8
14,0.007707357406616211,False,,,9,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.17423176765441895,42877,BOSS8-OS,172.25.0.208,0.17423176765441895,0,9
15,0.011176586151123047,False,,,10,c6ff2_00005,71b5c5dd501e4ddbaa149ae23b6ea4c8,2022-02-09_05-34-01,1644365041,0.185408353805542,42877,BOSS8-OS,172.25.0.208,0.185408353805542,0,10
